iter	Passed	Remaining
0	152	152763
1	170	85210
2	187	62254
3	204	50963
4	221	44095
5	239	39656
6	255	36301
7	271	33697
8	287	31667
9	303	30022
10	318	28627
11	334	27502
12	349	26509
13	364	25672
14	380	24959
15	395	24330
16	409	23684
17	424	23156
18	440	22728
19	454	22293
20	470	21952
21	485	21575
22	500	21278
23	515	20945
24	530	20691
25	545	20445
26	560	20190
27	575	19962
28	589	19741
29	605	19585
30	622	19460
31	639	19329
32	654	19166
33	668	18997
34	686	18936
35	702	18805
36	719	18739
37	737	18666
38	753	18577
39	773	18558
40	793	18565
41	813	18554
42	831	18499
43	848	18435
44	869	18448
45	889	18456
46	906	18380
47	923	18316
48	943	18314
49	960	18243
50	975	18143
51	993	18104
52	1010	18052
53	1029	18037
54	1049	18032
55	1065	17958
56	1079	17855
57	1094	17783
58	1109	17687
59	1123	17601
60	1138	17520
61	1153	17445
62	1167	17369
63	1181	17286
64	1196	17215
65	1211	17147
66	1228	17103
67	1244	17063
68	1262	17037
69	1279	17002
70	1296	16961
71	1313	16926
72	1330	16895
73	1349	16891
74	1366	16857
75	1383	16820
76	1400	16784
77	1416	16744
78	1433	16711
79	1449	16666
80	1465	16628
81	1480	16574
82	1495	16523
83	1509	16464
84	1523	16403
85	1539	16361
86	1554	16309
87	1569	16262
88	1584	16214
89	1598	16162
90	1612	16108
91	1627	16063
92	1650	16097
93	1665	16053
94	1680	16006
95	1694	15956
96	1709	15912
97	1725	15883
98	1743	15870
99	1760	15842
100	1778	15829
101	1808	15920
102	1825	15900
103	1844	15890
104	1861	15870
105	1877	15832
106	1891	15789
107	1907	15753
108	1934	15816
109	1950	15784
110	1965	15741
111	1979	15695
112	1994	15655
113	2008	15608
114	2023	15568
115	2037	15525
116	2052	15486
117	2065	15441
118	2079	15393
119	2094	15356
120	2110	15332
121	2125	15299
122	2141	15269
123	2155	15229
124	2169	15187
125	2184	15151
126	2198	15110
127	2212	15069
128	2226	15033
129	2242	15005
130	2256	14969
131	2270	14930
132	2284	14892
133	2298	14851
134	2312	14814
135	2325	14776
136	2339	14740
137	2354	14707
138	2369	14674
139	2382	14637
140	2397	14603
141	2410	14566
142	2425	14537
143	2440	14505
144	2455	14479
145	2469	14446
146	2483	14412
147	2497	14377
148	2511	14346
